year,winners,category
1947,The Jolson Story,"Best Sound, Recording"
1947,The Seventh Veil,"Best Writing, Original Screenplay"
1947,Vacation from Marriage,"Best Writing, Original Story"
1947,The Best Years of Our Lives,"Best Writing, Screenplay"
1948,Ronald Colman,Best Actor in a Leading Role
1948,Edmund Gwenn,Best Actor in a Supporting Role
1948,Loretta Young,Best Actress in a Leading Role
1948,Celeste Holm,Best Actress in a Supporting Role
1948,Great Expectations,"Best Art Direction-Set Decoration, Black-and-White"
1948,Black Narcissus,"Best Art Direction-Set Decoration, Color"
1948,Great Expectations,"Best Cinematography, Black-and-White"
1948,Black Narcissus,"Best Cinematography, Color"
1948,Elia Kazan,Best Director
1948,Design for Death,"Best Documentary, Features"
1948,First Steps,"Best Documentary, Short Subjects"
1948,Green Dolphin Street,"Best Effects, Special Effects"
1948,Body and Soul,Best Film Editing
1948,Song of the South,"Best Music, Original Song"
1948,A Double Life,"Best Music, Scoring of a Dramatic or Comedy Picture"
1948,Mother Wore Tights,"Best Music, Scoring of a Musical Picture"
1948,Gentleman's Agreement,Best Picture
1948,Tweetie Pie,"Best Short Subject, Cartoons"
1948,"Goodbye, Miss Turlock","Best Short Subject, One-reel"
1948,Climbing the Matterhorn,"Best Short Subject, Two-reel"
1948,The Bishop's Wife,"Best Sound, Recording"
1948,The Bachelor and the Bobby-Soxer,"Best Writing, Original Screenplay"
1948,Miracle on 34th Street,"Best Writing, Original Story"
1948,Miracle on 34th Street,"Best Writing, Screenplay"
1949,Laurence Olivier,Best Actor in a Leading Role
1949,Walter Huston,Best Actor in a Supporting Role
1949,Jane Wyman,Best Actress in a Leading Role
1949,Claire Trevor,Best Actress in a Supporting Role
1949,Hamlet,"Best Art Direction-Set Decoration, Black-and-White"
1949,The Red Shoes,"Best Art Direction-Set Decoration, Color"
1949,The Naked City,"Best Cinematography, Black-and-White"
1949,Joan of Arc,"Best Cinematography, Color"
1949,Hamlet,"Best Costume Design, Black-and-White"
1949,Joan of Arc,"Best Costume Design, Color"
1949,John Huston,Best Director
1949,The Secret Land,"Best Documentary, Features"
1949,Toward Independence,"Best Documentary, Short Subjects"
1949,Portrait of Jennie,"Best Effects, Special Effects"
1949,The Naked City,Best Film Editing
1949,The Paleface,"Best Music, Original Song"
1949,The Red Shoes,"Best Music, Scoring of a Dramatic or Comedy Picture"
1949,Easter Parade,"Best Music, Scoring of a Musical Picture"
1949,Hamlet,Best Picture
1949,The Little Orphan,"Best Short Subject, Cartoons"
1949,Rhythm of a City,"Best Short Subject, One-reel"
1949,Seal Island,"Best Short Subject, Two-reel"
1949,The Snake Pit,"Best Sound, Recording"
1949,The Search,"Best Writing, Motion Picture Story"
1949,The Treasure of the Sierra Madre,"Best Writing, Screenplay"
